Time,r1,r2
2024-10-25 15:25:23.857616,4492.730140252718,4058.225843800655
2024-10-25 15:25:24.358514,4492.713868183724,4058.2139526733135
2024-10-25 15:25:24.860996,4492.715745730147,4058.205816638817
2024-10-25 15:25:25.363975,4492.70760969565,4058.1958030578976
2024-10-25 15:25:25.867887,4492.703228753998,4058.190796267438
2024-10-25 15:25:26.370985,4492.626249350682,4058.16826571037
2024-10-25 15:25:26.874526,4488.026886464768,4067.48903199965
2024-10-25 15:25:27.378162,4461.560366246723,4143.955239293292
2024-10-25 15:25:27.881527,4458.3203469705795,4184.752445504216
2024-10-25 15:25:28.385488,4454.425689841848,4185.440253343598
2024-10-25 15:25:28.887475,4451.07677287321,4176.58449271825
2024-10-25 15:25:29.388904,4447.378006421209,4169.840971818028
2024-10-25 15:25:29.897886,4437.1303580481035,4148.351827165594
2024-10-25 15:25:30.401288,4431.1197061014,4133.862801424432
2024-10-25 15:25:30.904331,4435.043152275273,4122.2007347465005
2024-10-25 15:25:31.408091,4441.43995293617,4112.442500140816
2024-10-25 15:25:31.911376,4451.336500128299,4100.479400186503
2024-10-25 15:25:32.414830,4462.055412653412,4083.645318963845
2024-10-25 15:25:32.918113,4469.848482003718,4060.207906973834
2024-10-25 15:25:33.421424,4496.267437712398,4041.6940475519928
2024-10-25 15:25:33.925337,4534.927370245897,4031.972738025948
2024-10-25 15:25:34.426840,4572.448257949844,4029.0174799571923
2024-10-25 15:25:34.928786,4596.1535332294425,4038.3920692439124
2024-10-25 15:25:35.430915,4610.686994235933,4072.9426785077267
2024-10-25 15:25:35.934349,4617.402977788626,4126.797594237185
2024-10-25 15:25:36.438169,4621.749497756333,4196.638566055212
2024-10-25 15:25:36.940316,4620.538480313926,4236.085816388477
2024-10-25 15:25:37.444159,4617.785997258783,4257.131234236434
2024-10-25 15:25:37.947602,4610.906041318539,4269.410387838507
2024-10-25 15:25:38.450954,4603.1805636394365,4272.319333095511
2024-10-25 15:25:38.953701,4590.807532716247,4266.4576331649805
2024-10-25 15:25:39.457435,4571.261022762122,4256.4315352697095
2024-10-25 15:25:39.960312,4536.177190314364,4238.565429363574
2024-10-25 15:25:40.462924,4488.958149490247,4209.684384446406
2024-10-25 15:25:40.966968,4471.6089946990605,4198.541772278653
2024-10-25 15:25:41.469675,4463.676361064694,4190.231125964589
2024-10-25 15:25:41.972893,4461.3557136866875,4183.748584017074
2024-10-25 15:25:42.475937,4459.904370302223,4179.253112033195
2024-10-25 15:25:42.979839,4458.490577846204,4177.495102733082
2024-10-25 15:25:43.481780,4456.183699141961,4166.855047157708
2024-10-25 15:25:43.985591,4461.914596671736,4101.629710294587
2024-10-25 15:25:44.489385,4529.137017079414,4042.958262143032
2024-10-25 15:25:44.992825,4518.6828385998515,4048.555853876821
2024-10-25 15:25:45.494710,4510.988653361122,4054.6585055982177
2024-10-25 15:25:45.996374,4509.566099021798,4054.7010633171244
2024-10-25 15:25:46.500162,4508.625448264209,4054.7254714206147
2024-10-25 15:25:47.002827,4507.985830783,4054.7298523622667
2024-10-25 15:25:47.505851,4507.510811538149,4054.734859152726
2024-10-25 15:25:48.009848,4507.114023394229,4054.744246884838
2024-10-25 15:25:48.512729,4506.737262412147,4054.7492536752975
2024-10-25 15:25:49.015906,4506.475657610635,4054.759893105024
2024-10-25 15:25:49.519023,4506.1796311247135,4054.763648197869
2024-10-25 15:25:50.022732,4505.95495140284,4054.7523829193347
2024-10-25 15:25:50.524092,4505.757183179688,4054.7448727336455
2024-10-25 15:25:51.027210,4502.630442537692,4056.8420920873937
2024-10-25 15:25:51.528681,4478.135346063098,4105.543142887542
2024-10-25 15:25:52.032124,4469.069926087256,4158.133218177153
2024-10-25 15:25:52.534597,4463.793394791686,4187.250833943536
2024-10-25 15:25:53.038545,4459.976342915079,4183.891903393978
2024-10-25 15:25:53.542035,4455.2324089546455,4178.25488318532
2024-10-25 15:25:54.044996,4447.291013436974,4164.629528798433
2024-10-25 15:25:54.548522,4436.9350932201805,4151.32648654738
2024-10-25 15:25:55.052008,4433.810230124607,4139.25261135415
2024-10-25 15:25:55.554701,4436.666604081786,4125.388808571625
2024-10-25 15:25:56.057360,4447.655257442907,4106.142080196267
2024-10-25 15:25:56.559852,4457.641926863309,4088.8830476333533
2024-10-25 15:25:57.062746,4465.371785484063,4070.8035272838792
2024-10-25 15:25:57.564915,4474.259464398591,4054.657253900603
2024-10-25 15:25:58.067782,4499.746531232985,4041.4712453765424
2024-10-25 15:25:58.571382,4541.722210748328,4033.5636456944735
2024-10-25 15:25:59.074458,4576.369200728488,4031.815024126472
2024-10-25 15:25:59.578584,4597.29570730303,4039.170625160374
2024-10-25 15:26:00.080864,4612.637764968739,4050.8458346632624
2024-10-25 15:26:00.584155,4620.80947284755,4080.7057071152753
2024-10-25 15:26:01.085571,4623.366691074771,4127.959169623803
2024-10-25 15:26:01.588521,4621.242560222302,4162.830839325836
2024-10-25 15:26:02.091196,4616.232640518704,4188.464980629979
2024-10-25 15:26:02.594813,4609.854615322031,4218.256009713174
2024-10-25 15:26:03.098091,4602.11411727155,4234.066828135659
2024-10-25 15:26:03.599689,4594.399904870982,4251.014187992465
2024-10-25 15:26:04.102579,4579.02905816013,4243.859484425753
2024-10-25 15:26:04.605792,4548.111501223535,4241.113885707491
2024-10-25 15:26:05.109852,4497.8877602748735,4226.484669833462
2024-10-25 15:26:05.612328,4472.339986106157,4216.183824311724
2024-10-25 15:26:06.115344,4450.237509622426,4202.786278890746
2024-10-25 15:26:06.617028,4441.254701689167,4191.5604288316035
2024-10-25 15:26:07.119807,4441.010620654262,4133.465387431705
2024-10-25 15:26:07.623498,4507.159710357172,4049.910190696132
2024-10-25 15:26:08.126866,4511.737794383634,4056.4916167552246
2024-10-25 15:26:08.630046,4508.057803395856,4056.966010151268
2024-10-25 15:26:09.132780,4506.525099666423,4057.036731066509
2024-10-25 15:26:09.637462,4505.697101694173,4057.068649355689
2024-10-25 15:26:10.140199,4505.0618651546165,4057.092431610372
2024-10-25 15:26:10.643538,4504.650682488125,4057.102445191291
2024-10-25 15:26:11.147466,4504.318982620179,4057.101193493676
2024-10-25 15:26:11.649944,4504.063010457934,4057.0961867032165
2024-10-25 15:26:12.152534,4503.8552286538625,4057.0792887854154
2024-10-25 15:26:12.655805,4503.67435834851,4057.081792180645
2024-10-25 15:26:13.700874,4503.51038596096,4057.0705269021114
2024-10-28 09:25:31.511270,2,3
